ev_id,toa,tod,i_soc,d_soc,dos,max_battery_capacity,day,date,toa_hr,tod_hr,unique_ev
V16,2024-12-24 08:08:00,2024-12-24 17:10:00,51,80,0 days 09:02:00,90,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V16_2024-12-24
V17,2024-12-24 07:24:00,2024-12-24 16:31:00,21,80,0 days 09:07:00,62,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V17_2024-12-24
V18,2024-12-24 07:52:00,2024-12-24 16:21:00,46,80,0 days 08:29:00,55,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V18_2024-12-24
V19,2024-12-24 07:21:00,2024-12-24 15:57:00,49,80,0 days 08:36:00,51,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V19_2024-12-24
V20,2024-12-24 07:37:00,2024-12-24 17:16:00,44,80,0 days 09:39:00,84,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 17:00:00,V20_2024-12-24
V21,2024-12-24 09:08:00,2024-12-24 16:52:00,19,80,0 days 07:44:00,92,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 16:00:00,V21_2024-12-24
V22,2024-12-24 08:13:00,2024-12-24 17:02:00,19,80,0 days 08:49:00,67,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V22_2024-12-24
V23,2024-12-24 08:36:00,2024-12-24 18:28:00,19,80,0 days 09:52:00,53,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 18:00:00,V23_2024-12-24
V24,2024-12-24 10:15:00,2024-12-24 18:29:00,35,80,0 days 08:14:00,43,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 18:00:00,V24_2024-12-24
V25,2024-12-24 07:02:00,2024-12-24 14:51:00,29,80,0 days 07:49:00,79,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 14:00:00,V25_2024-12-24
V26,2024-12-24 08:14:00,2024-12-24 16:12:00,15,80,0 days 07:58:00,95,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 16:00:00,V26_2024-12-24
V27,2024-12-24 09:25:00,2024-12-24 19:25:00,13,80,0 days 10:00:00,80,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 19:00:00,V27_2024-12-24
V28,2024-12-24 06:51:00,2024-12-24 15:16:00,43,80,0 days 08:25:00,60,1,2024-12-24,2024-12-24 06:00:00,2024-12-24 15:00:00,V28_2024-12-24
V29,2024-12-24 07:01:00,2024-12-24 16:13:00,32,80,0 days 09:12:00,44,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V29_2024-12-24
V30,2024-12-24 08:32:00,2024-12-24 16:17:00,18,80,0 days 07:45:00,76,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 16:00:00,V30_2024-12-24
V31,2024-12-24 08:19:00,2024-12-24 15:47:00,43,80,0 days 07:28:00,76,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 15:00:00,V31_2024-12-24
V32,2024-12-24 08:11:00,2024-12-24 16:04:00,21,80,0 days 07:53:00,69,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 16:00:00,V32_2024-12-24
V33,2024-12-24 08:35:00,2024-12-24 16:07:00,30,80,0 days 07:32:00,100,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 16:00:00,V33_2024-12-24
V34,2024-12-24 09:19:00,2024-12-24 18:40:00,48,80,0 days 09:21:00,40,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 18:00:00,V34_2024-12-24
V35,2024-12-24 08:15:00,2024-12-24 17:27:00,59,80,0 days 09:12:00,72,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V35_2024-12-24
V36,2024-12-24 07:50:00,2024-12-24 17:17:00,22,80,0 days 09:27:00,95,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 17:00:00,V36_2024-12-24
V37,2024-12-24 08:29:00,2024-12-24 17:15:00,11,80,0 days 08:46:00,65,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V37_2024-12-24
V38,2024-12-24 07:28:00,2024-12-24 15:09:00,33,80,0 days 07:41:00,51,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V38_2024-12-24
V39,2024-12-24 07:33:00,2024-12-24 15:36:00,34,80,0 days 08:03:00,44,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V39_2024-12-24
V40,2024-12-24 06:59:00,2024-12-24 14:24:00,29,80,0 days 07:25:00,64,1,2024-12-24,2024-12-24 06:00:00,2024-12-24 14:00:00,V40_2024-12-24
V41,2024-12-24 07:37:00,2024-12-24 16:54:00,40,80,0 days 09:17:00,73,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V41_2024-12-24
V42,2024-12-24 09:45:00,2024-12-24 19:12:00,57,80,0 days 09:27:00,62,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 19:00:00,V42_2024-12-24
V43,2024-12-24 09:24:00,2024-12-24 20:37:00,15,80,0 days 11:13:00,39,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 20:00:00,V43_2024-12-24
V44,2024-12-24 08:27:00,2024-12-24 18:14:00,52,80,0 days 09:47:00,74,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 18:00:00,V44_2024-12-24
V45,2024-12-24 07:13:00,2024-12-24 15:03:00,48,80,0 days 07:50:00,41,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V45_2024-12-24
V46,2024-12-24 07:28:00,2024-12-24 14:41:00,18,80,0 days 07:13:00,48,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 14:00:00,V46_2024-12-24
V47,2024-12-24 09:25:00,2024-12-24 18:15:00,26,80,0 days 08:50:00,63,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 18:00:00,V47_2024-12-24
V48,2024-12-24 06:49:00,2024-12-24 15:12:00,40,80,0 days 08:23:00,44,1,2024-12-24,2024-12-24 06:00:00,2024-12-24 15:00:00,V48_2024-12-24
V49,2024-12-24 09:49:00,2024-12-24 19:33:00,42,80,0 days 09:44:00,76,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 19:00:00,V49_2024-12-24
V50,2024-12-24 09:58:00,2024-12-24 20:51:00,45,80,0 days 10:53:00,78,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 20:00:00,V50_2024-12-24
V51,2024-12-24 09:09:00,2024-12-24 15:38:00,34,80,0 days 06:29:00,84,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 15:00:00,V51_2024-12-24
V52,2024-12-24 09:05:00,2024-12-24 19:14:00,27,80,0 days 10:09:00,71,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 19:00:00,V52_2024-12-24
V53,2024-12-24 07:41:00,2024-12-24 16:23:00,28,80,0 days 08:42:00,78,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V53_2024-12-24
V54,2024-12-24 08:17:00,2024-12-24 17:46:00,34,80,0 days 09:29:00,61,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V54_2024-12-24
V55,2024-12-24 09:29:00,2024-12-24 18:57:00,39,80,0 days 09:28:00,75,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 18:00:00,V55_2024-12-24
V56,2024-12-24 08:43:00,2024-12-24 17:23:00,48,80,0 days 08:40:00,60,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V56_2024-12-24
V57,2024-12-24 07:37:00,2024-12-24 16:58:00,39,80,0 days 09:21:00,76,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V57_2024-12-24
V58,2024-12-24 07:34:00,2024-12-24 16:30:00,37,80,0 days 08:56:00,71,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V58_2024-12-24
V59,2024-12-24 09:15:00,2024-12-24 17:31:00,40,80,0 days 08:16:00,52,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 17:00:00,V59_2024-12-24
V60,2024-12-24 08:18:00,2024-12-24 17:01:00,54,80,0 days 08:43:00,57,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V60_2024-12-24
V61,2024-12-24 08:02:00,2024-12-24 17:48:00,48,80,0 days 09:46:00,42,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V61_2024-12-24
V62,2024-12-24 07:47:00,2024-12-24 15:03:00,55,80,0 days 07:16:00,49,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V62_2024-12-24
V63,2024-12-24 06:16:00,2024-12-24 14:40:00,58,80,0 days 08:24:00,53,1,2024-12-24,2024-12-24 06:00:00,2024-12-24 14:00:00,V63_2024-12-24
V64,2024-12-24 09:08:00,2024-12-24 18:41:00,12,80,0 days 09:33:00,44,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 18:00:00,V64_2024-12-24
V65,2024-12-24 05:45:00,2024-12-24 14:59:00,23,80,0 days 09:14:00,86,1,2024-12-24,2024-12-24 05:00:00,2024-12-24 14:00:00,V65_2024-12-24
V66,2024-12-24 05:22:00,2024-12-24 13:43:00,31,80,0 days 08:21:00,90,1,2024-12-24,2024-12-24 05:00:00,2024-12-24 13:00:00,V66_2024-12-24
V67,2024-12-24 09:14:00,2024-12-24 17:03:00,51,80,0 days 07:49:00,54,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 17:00:00,V67_2024-12-24
V68,2024-12-24 09:49:00,2024-12-24 19:24:00,15,80,0 days 09:35:00,90,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 19:00:00,V68_2024-12-24
V69,2024-12-24 08:55:00,2024-12-24 15:53:00,34,80,0 days 06:58:00,74,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 15:00:00,V69_2024-12-24
V70,2024-12-24 06:39:00,2024-12-24 15:26:00,34,80,0 days 08:47:00,76,1,2024-12-24,2024-12-24 06:00:00,2024-12-24 15:00:00,V70_2024-12-24
V71,2024-12-24 08:24:00,2024-12-24 16:41:00,51,80,0 days 08:17:00,91,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 16:00:00,V71_2024-12-24
V72,2024-12-24 08:12:00,2024-12-24 16:24:00,50,80,0 days 08:12:00,86,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 16:00:00,V72_2024-12-24
V73,2024-12-24 08:52:00,2024-12-24 18:52:00,16,80,0 days 10:00:00,84,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 18:00:00,V73_2024-12-24
V74,2024-12-24 09:53:00,2024-12-24 15:45:00,23,80,0 days 05:52:00,97,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 15:00:00,V74_2024-12-24
V75,2024-12-24 09:19:00,2024-12-24 17:23:00,53,80,0 days 08:04:00,76,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 17:00:00,V75_2024-12-24
V76,2024-12-24 07:26:00,2024-12-24 15:25:00,44,80,0 days 07:59:00,41,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V76_2024-12-24
V77,2024-12-24 09:00:00,2024-12-24 15:00:00,31,80,0 days 06:00:00,53,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 15:00:00,V77_2024-12-24
V78,2024-12-24 10:27:00,2024-12-24 19:27:00,19,80,0 days 09:00:00,89,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 19:00:00,V78_2024-12-24
V79,2024-12-24 07:52:00,2024-12-24 16:06:00,39,80,0 days 08:14:00,83,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V79_2024-12-24
V80,2024-12-24 10:48:00,2024-12-24 19:39:00,55,80,0 days 08:51:00,39,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 19:00:00,V80_2024-12-24
V81,2024-12-24 08:34:00,2024-12-24 18:01:00,21,80,0 days 09:27:00,67,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 18:00:00,V81_2024-12-24
V82,2024-12-24 06:50:00,2024-12-24 15:27:00,40,80,0 days 08:37:00,94,1,2024-12-24,2024-12-24 06:00:00,2024-12-24 15:00:00,V82_2024-12-24
V83,2024-12-24 09:09:00,2024-12-24 17:33:00,38,80,0 days 08:24:00,52,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 17:00:00,V83_2024-12-24
V84,2024-12-24 09:38:00,2024-12-24 19:03:00,10,80,0 days 09:25:00,89,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 19:00:00,V84_2024-12-24
V85,2024-12-24 09:33:00,2024-12-24 13:54:00,30,80,0 days 04:21:00,81,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 13:00:00,V85_2024-12-24
V86,2024-12-24 05:17:00,2024-12-24 13:43:00,27,80,0 days 08:26:00,53,1,2024-12-24,2024-12-24 05:00:00,2024-12-24 13:00:00,V86_2024-12-24
V87,2024-12-24 07:51:00,2024-12-24 16:13:00,17,80,0 days 08:22:00,73,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V87_2024-12-24
V88,2024-12-24 07:45:00,2024-12-24 17:25:00,13,80,0 days 09:40:00,93,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 17:00:00,V88_2024-12-24
V89,2024-12-24 07:58:00,2024-12-24 16:12:00,40,80,0 days 08:14:00,43,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V89_2024-12-24
V90,2024-12-24 06:29:00,2024-12-24 13:45:00,37,80,0 days 07:16:00,55,1,2024-12-24,2024-12-24 06:00:00,2024-12-24 13:00:00,V90_2024-12-24
V91,2024-12-24 07:20:00,2024-12-24 15:59:00,55,80,0 days 08:39:00,97,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V91_2024-12-24
V92,2024-12-24 07:56:00,2024-12-24 14:05:00,57,80,0 days 06:09:00,92,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 14:00:00,V92_2024-12-24
V93,2024-12-24 10:51:00,2024-12-24 19:04:00,22,80,0 days 08:13:00,68,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 19:00:00,V93_2024-12-24
V94,2024-12-24 07:41:00,2024-12-24 14:35:00,56,80,0 days 06:54:00,76,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 14:00:00,V94_2024-12-24
V95,2024-12-24 08:41:00,2024-12-24 16:36:00,32,80,0 days 07:55:00,70,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 16:00:00,V95_2024-12-24
V96,2024-12-24 08:23:00,2024-12-24 18:16:00,25,80,0 days 09:53:00,76,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 18:00:00,V96_2024-12-24
V97,2024-12-24 10:09:00,2024-12-24 18:28:00,53,80,0 days 08:19:00,74,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 18:00:00,V97_2024-12-24
V98,2024-12-24 07:26:00,2024-12-24 13:18:00,42,80,0 days 05:52:00,87,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 13:00:00,V98_2024-12-24
V99,2024-12-24 07:08:00,2024-12-24 15:01:00,22,80,0 days 07:53:00,74,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V99_2024-12-24
V100,2024-12-24 06:33:00,2024-12-24 15:13:00,23,80,0 days 08:40:00,73,1,2024-12-24,2024-12-24 06:00:00,2024-12-24 15:00:00,V100_2024-12-24
V101,2024-12-24 10:13:00,2024-12-24 16:51:00,16,80,0 days 06:38:00,91,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 16:00:00,V101_2024-12-24
V102,2024-12-24 09:17:00,2024-12-24 16:27:00,46,80,0 days 07:10:00,66,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 16:00:00,V102_2024-12-24
V103,2024-12-24 09:26:00,2024-12-24 19:11:00,51,80,0 days 09:45:00,88,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 19:00:00,V103_2024-12-24
V104,2024-12-24 08:39:00,2024-12-24 17:05:00,44,80,0 days 08:26:00,99,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V104_2024-12-24
V105,2024-12-24 07:01:00,2024-12-24 14:06:00,22,80,0 days 07:05:00,77,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 14:00:00,V105_2024-12-24
V106,2024-12-24 10:23:00,2024-12-24 19:06:00,10,80,0 days 08:43:00,62,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 19:00:00,V106_2024-12-24
V107,2024-12-24 10:19:00,2024-12-24 18:01:00,42,80,0 days 07:42:00,56,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 18:00:00,V107_2024-12-24
V108,2024-12-24 09:37:00,2024-12-24 18:44:00,31,80,0 days 09:07:00,60,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 18:00:00,V108_2024-12-24
V109,2024-12-24 11:18:00,2024-12-24 15:46:00,32,80,0 days 04:28:00,86,1,2024-12-24,2024-12-24 11:00:00,2024-12-24 15:00:00,V109_2024-12-24
V110,2024-12-24 10:23:00,2024-12-24 18:53:00,22,80,0 days 08:30:00,50,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 18:00:00,V110_2024-12-24
V111,2024-12-24 08:46:00,2024-12-24 17:56:00,30,80,0 days 09:10:00,48,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V111_2024-12-24
V112,2024-12-24 10:10:00,2024-12-24 18:58:00,54,80,0 days 08:48:00,84,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 18:00:00,V112_2024-12-24
V113,2024-12-24 10:37:00,2024-12-24 19:38:00,28,80,0 days 09:01:00,86,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 19:00:00,V113_2024-12-24
V114,2024-12-24 08:04:00,2024-12-24 13:52:00,24,80,0 days 05:48:00,93,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 13:00:00,V114_2024-12-24
V115,2024-12-24 08:28:00,2024-12-24 17:59:00,17,80,0 days 09:31:00,89,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V115_2024-12-24
V116,2024-12-24 09:05:00,2024-12-24 17:34:00,37,80,0 days 08:29:00,54,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 17:00:00,V116_2024-12-24
V117,2024-12-24 08:36:00,2024-12-24 17:28:00,37,80,0 days 08:52:00,52,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V117_2024-12-24
V118,2024-12-24 07:13:00,2024-12-24 09:12:00,35,80,0 days 01:59:00,40,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 09:00:00,V118_2024-12-24
V119,2024-12-24 05:46:00,2024-12-24 07:46:00,43,80,0 days 02:00:00,47,1,2024-12-24,2024-12-24 05:00:00,2024-12-24 07:00:00,V119_2024-12-24
V120,2024-12-24 07:41:00,2024-12-24 15:47:00,20,80,0 days 08:06:00,83,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V120_2024-12-24
V121,2024-12-24 08:01:00,2024-12-24 16:09:00,38,80,0 days 08:08:00,44,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 16:00:00,V121_2024-12-24
V122,2024-12-24 14:51:00,2024-12-24 22:58:00,52,80,0 days 08:07:00,67,1,2024-12-24,2024-12-24 14:00:00,2024-12-24 22:00:00,V122_2024-12-24
V123,2024-12-24 08:07:00,2024-12-24 10:08:00,38,80,0 days 02:01:00,43,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 10:00:00,V123_2024-12-24
V124,2024-12-24 07:45:00,2024-12-24 15:52:00,59,80,0 days 08:07:00,71,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V124_2024-12-24
V125,2024-12-24 06:43:00,2024-12-24 14:48:00,16,80,0 days 08:05:00,93,1,2024-12-24,2024-12-24 06:00:00,2024-12-24 14:00:00,V125_2024-12-24
V126,2024-12-24 07:56:00,2024-12-24 16:01:00,30,80,0 days 08:05:00,75,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V126_2024-12-24
V127,2024-12-24 09:17:00,2024-12-24 11:16:00,45,80,0 days 01:59:00,49,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 11:00:00,V127_2024-12-24
V128,2024-12-24 09:18:00,2024-12-24 17:23:00,17,80,0 days 08:05:00,42,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 17:00:00,V128_2024-12-24
V129,2024-12-24 04:50:00,2024-12-24 12:55:00,25,80,0 days 08:05:00,78,1,2024-12-24,2024-12-24 04:00:00,2024-12-24 12:00:00,V129_2024-12-24
V130,2024-12-24 07:09:00,2024-12-24 15:15:00,40,80,0 days 08:06:00,69,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V130_2024-12-24
V131,2024-12-24 08:05:00,2024-12-24 10:05:00,41,80,0 days 02:00:00,45,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 10:00:00,V131_2024-12-24
V132,2024-12-24 08:08:00,2024-12-24 16:13:00,28,80,0 days 08:05:00,90,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 16:00:00,V132_2024-12-24
V133,2024-12-24 10:14:00,2024-12-24 18:18:00,54,80,0 days 08:04:00,65,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 18:00:00,V133_2024-12-24
V134,2024-12-24 09:23:00,2024-12-24 17:29:00,28,80,0 days 08:06:00,74,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 17:00:00,V134_2024-12-24
V135,2024-12-24 11:00:00,2024-12-24 19:04:00,44,80,0 days 08:04:00,92,1,2024-12-24,2024-12-24 11:00:00,2024-12-24 19:00:00,V135_2024-12-24
V136,2024-12-24 10:46:00,2024-12-24 18:50:00,46,80,0 days 08:04:00,98,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 18:00:00,V136_2024-12-24
V137,2024-12-24 09:05:00,2024-12-24 17:11:00,59,80,0 days 08:06:00,63,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 17:00:00,V137_2024-12-24
V138,2024-12-24 05:41:00,2024-12-24 13:48:00,14,80,0 days 08:07:00,86,1,2024-12-24,2024-12-24 05:00:00,2024-12-24 13:00:00,V138_2024-12-24
V139,2024-12-24 10:38:00,2024-12-24 12:39:00,46,80,0 days 02:01:00,51,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 12:00:00,V139_2024-12-24
V140,2024-12-24 08:05:00,2024-12-24 16:11:00,10,80,0 days 08:06:00,50,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 16:00:00,V140_2024-12-24
V141,2024-12-24 08:00:00,2024-12-24 10:00:00,60,80,0 days 02:00:00,48,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 10:00:00,V141_2024-12-24
V142,2024-12-24 06:40:00,2024-12-24 14:44:00,49,80,0 days 08:04:00,98,1,2024-12-24,2024-12-24 06:00:00,2024-12-24 14:00:00,V142_2024-12-24
V143,2024-12-24 12:55:00,2024-12-24 21:00:00,59,80,0 days 08:05:00,74,1,2024-12-24,2024-12-24 12:00:00,2024-12-24 21:00:00,V143_2024-12-24
V144,2024-12-24 11:58:00,2024-12-24 20:03:00,24,80,0 days 08:05:00,68,1,2024-12-24,2024-12-24 11:00:00,2024-12-24 20:00:00,V144_2024-12-24
V145,2024-12-24 07:12:00,2024-12-24 15:15:00,57,80,0 days 08:03:00,59,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V145_2024-12-24
V146,2024-12-24 08:28:00,2024-12-24 16:31:00,48,80,0 days 08:03:00,46,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 16:00:00,V146_2024-12-24
V147,2024-12-24 12:25:00,2024-12-24 20:33:00,20,80,0 days 08:08:00,58,1,2024-12-24,2024-12-24 12:00:00,2024-12-24 20:00:00,V147_2024-12-24
V148,2024-12-24 10:44:00,2024-12-24 18:50:00,25,80,0 days 08:06:00,79,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 18:00:00,V148_2024-12-24
V149,2024-12-24 07:06:00,2024-12-24 15:12:00,20,80,0 days 08:06:00,65,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V149_2024-12-24
V150,2024-12-24 06:22:00,2024-12-24 14:28:00,53,80,0 days 08:06:00,94,1,2024-12-24,2024-12-24 06:00:00,2024-12-24 14:00:00,V150_2024-12-24
V151,2024-12-24 05:57:00,2024-12-24 14:02:00,34,80,0 days 08:05:00,64,1,2024-12-24,2024-12-24 05:00:00,2024-12-24 14:00:00,V151_2024-12-24
V152,2024-12-24 15:22:00,2024-12-24 17:36:00,57,80,0 days 02:14:00,52,1,2024-12-24,2024-12-24 15:00:00,2024-12-24 17:00:00,V152_2024-12-24
V153,2024-12-24 12:04:00,2024-12-24 21:26:00,51,80,0 days 09:22:00,95,1,2024-12-24,2024-12-24 12:00:00,2024-12-24 21:00:00,V153_2024-12-24
V154,2024-12-24 13:49:00,2024-12-24 16:48:00,49,80,0 days 02:59:00,82,1,2024-12-24,2024-12-24 13:00:00,2024-12-24 16:00:00,V154_2024-12-24
